Religion_categories,Observation,Percent_of_survey_respondents
Buddhist,245514,0.54
Christian,23656564,51.78
Hindu,823132,1.8
Jewish,213617,0.47
Muslim,2664709,5.83
No religion,17355645,37.98
Other religion,314939,0.69
Sikh,416797,0.91
